WEB ID;dose;weight
735;1;-1,8
736;20;-0,4
737;10;-1,5
738;20;0.8
739;100;-3
740;50;-4,5
741;100;-0,4
742;20;-0,9
743;0.5;-1,1
744;200;2.6
745;1;-0,4
746;60;-0,1
747;3;1.9
748;50;1.5
749;200;-0,6
750;2;0.9
751;0.5;2.1
752;200;1.7
753;10;-0,3
754;100;-1,6
755;10;0.9
756;100;0.8
757;30;-1,1
758;7;0.2
759;50;1
760;20;1
761;6;-1,7
762;60;0.6
763;1;1.6
764;15;0.6
765;20;-1,9
766;15;1
767;50;-0,1
768;50;-0,6
769;200;1.2
770;100;2.4
771;20;1.1
772;0.001;-2,4
773;0.025;-1,6
774;6;1.1
775;100;-1,9
776;100;0.7
777;100;0.4
778;5;0.7
779;10;-0,7
780;5;1.5
781;8;-2,1
782;5;-0,5
783;10;-1,7
784;200;-2,1
785;20;-1,5
786;70;0.6
787;10;0.7
788;100;-0,7
789;12;-0,9
790;30;-0,6
791;200;-0,1
792;20;-0,2
793;30;0.6
794;4;-1,1
795;5;-1,8
796;2;-0,5
797;150;1.4
798;30;0.8
799;15;-3
800;1;0.4
801;50;-0,3
802;2;-0,2
803;3;0.2
804;60;-1,1
805;10;0.2
806;25;0.4
807;100;-0,3
808;30;-0,7
809;50;-0,3
810;20;0.2
811;10;-2,6
812;100;2.1
813;40;2.3
814;0.5;1.8
815;10;-2,2
816;4;0.7
817;30;0.2
818;3;-0,1
819;50;-3
820;20;-1,9
821;30;1.2
822;50;1.1
823;20;-2,4
824;3;1.5
825;10;-2
826;0.2;0
827;40;-2,2
828;2;0.1
829;10;-2,4
830;0.5;0
831;100;-0,3
832;30;0.3
833;20;-0,2
834;20;-0,1
835;20;-0,2
836;10;-0,6
837;20;3
838;50;-3,3
839;40;-2,8
840;0.5;-3
841;2;-3,4
842;50;0.5
843;10;0.5
844;100;-1,4
845;100;-0,2
846;100;-0,9
847;50;-3,1
848;10;-4,5
849;0.5;-1,7
850;100;-1,2
851;200;-0,9
852;10;0
853;0.3;-0,5
854;100;-0,8
855;50;-2,1
856;50;0.8
857;100;-2,3
858;100;-1,5
859;2;-1,2
860;100;-2,3
861;200;-2,5
862;100;-0,1
863;0.03;2.5
864;100;-0,3
865;200;2
866;30;-1,8
867;100;0.5
868;200;0.4
869;200;-0,1
870;200;1.4
871;40;-0,4
872;100;-1,2
873;50;-2,5
874;100;-0,4
875;100;0.5
876;100;-0,4
877;10;-1,3
878;50;-2,3
879;5;-0,9
880;5;-0,6
881;10;-0,9
882;10;-0,4
883;10;-1,9
884;1;-2,2
885;100;1.1
886;200;1
887;200;-0,6
888;200;1.6
889;200;0.5
890;50;-3,3
891;50;-1,7
892;20;0.6
893;30;0.7
894;200;0.7
895;100;-2,6
896;100;0.2
897;200;0.2
898;100;-2,2
899;100;0.9
900;10;-0,4
901;5;-0,1
902;100;0.3
903;0.1;-2,4
904;40;0.9
905;20;0.8
906;1;-2
907;0.25;-2,9
908;100;3
909;0.3;0.5
910;50;-0,3
911;5;-1,8
912;40;-0,3
913;100;-3,3
914;100;-2,5
915;40;0
916;60;0.2
917;20;0.9
918;0.1;-0,6
919;5;0.2
920;2;-0,8
921;40;-1,4
922;0.02;1
923;25;0.5
924;40;0.5
925;60;-0,5
926;20;-1,9
927;20;-2,9
928;20;0.8
929;100;0.6
930;5;1.6
931;10;0.5
932;25;0.9
933;10;0.2
934;30;1.2
935;30;0.3
936;4;1.3
937;2;1.2
938;20;-0,8
939;2;-5,3
940;100;2.3
941;100;-0,9
942;3;0.5
943;50;-0,6
944;50;0.7
945;0.01;-4
946;10;0.4
947;20;2.2
948;100;-1,7
949;2;-1,8
950;30;-1,5
951;1;0.1
952;20;1.7
953;5;0
954;30;0.3
955;4;0.2
956;100;-1
957;20;-0,6
958;100;-0,5
959;20;-1,6
960;40;-1,5
961;100;-1
962;20;-0,2
963;40;-0,8
964;200;-2
965;2;-2,4
966;50;-2,5
967;100;-1,1
968;20;-2,2
969;10;-1
970;30;-2,8
971;15;-0,5
972;1;-0,3
973;10;-0,4
974;50;-0,9
975;60;-0,3
976;50;-0,4
977;30;-0,5
978;5;0
979;1;0.3
980;6;0.6
981;25;-3,1
982;40;-1
983;20;-0,3
984;0.3;-3,3
985;20;-4,1
986;5;-7,1
987;5;-3,6
988;15;-4,1
989;0.5;-2
990;1;-3,9
991;50;-3,4
992;10;-3,8
993;0.5;-2,5
994;10;-1,3
995;0.5;-2,2
996;5;-0,9
997;10;-2,3
998;30;-2,9
999;10;-1,6
1000;5;-2
1001;30;-1,9
