0,Mean LS,Mean LS extension,Max LS,Max LS extension,Onset of Mortality,Onset of Mortality extension,Num mice
87,772,-12.86,958,-12.16,566,-14.76,11
88,840,-5.18,1174,7.71,359,-45.93,15
89,902,1.82,1114,2.23,664,0.00,15
90,814,-8.07,958,-12.14,539,-18.88,15
91,873,-1.50,1106,1.44,584,-12.10,15
92,899,1.46,1164,6.76,643,-3.21,15
93,936,5.66,1123,3.03,741,11.55,15
95,910,2.78,1122,2.94,758,14.16,15
96,866,-2.29,1073,-1.59,675,1.71,15
97,913,3.09,1061,-2.63,729,9.84,15
98,921,3.98,1030,-5.50,704,6.02,15
99,936,5.70,1112,1.99,757,14.01,15
100,961,8.54,1242,13.94,706,6.33,15
101,936,5.65,1111,1.93,785,18.22,15
102,912,2.97,1137,4.28,719,8.28,15
103,905,2.14,1157,6.12,541,-18.52,15
104,940,6.06,1161,6.54,683,2.91,15
105,903,1.94,1215,11.50,601,-9.54,15
106,955,7.78,1179,8.13,755,13.70,15
107,936,5.64,1205,10.52,690,3.97,15
108,825,-6.82,1036,-4.95,620,-6.58,15
109,955,7.78,1144,4.95,724,9.09,15
110,899,1.51,1094,0.40,737,10.99,15
111,913,3.10,1049,-3.76,786,18.37,15
112,904,2.08,1059,-2.84,767,15.56,15
113,871,-1.65,1005,-7.83,678,2.06,15
114,917,3.53,1163,6.70,660,-0.60,15
115,849,-4.21,1024,-6.06,652,-1.81,15
116,966,9.03,1187,8.87,756,13.81,15
117,906,2.29,1114,2.20,681,2.61,15
118,923,4.14,1158,6.24,768,15.61,15
119,827,-6.69,1057,-3.06,469,-29.42,15
120,865,-2.38,1029,-5.63,735,10.74,15
121,937,5.79,1092,0.18,802,20.78,15
122,858,-3.17,1018,-6.57,563,-15.16,15
123,937,5.74,1146,5.14,755,13.76,15
124,959,8.21,1232,13.06,730,9.89,15
125,822,-7.18,1026,-5.87,593,-10.74,15
126,973,9.88,1183,8.56,695,4.72,15
127,888,0.27,1134,4.04,562,-15.31,15
128,956,7.87,1149,5.44,702,5.72,15
129,892,0.64,1154,5.84,664,0.05,15
130,801,-9.53,988,-9.36,583,-12.15,15
131,857,-3.25,1027,-5.81,724,8.99,15
132,946,6.75,1119,2.66,751,13.10,15
133,921,3.92,1129,3.61,702,5.77,15
